
# TURKISH_SERIES_DATABASE
# Format: ID | Series Name | Season | Episode | URL
# Encoding: UTF-8
------------------------------------------------------------------------------------------------------------------------------------------------------
(The actual content will be copied from FINAL_TURKISH_SERIES_CLEAN.txt by a script to ensure no data loss)
# סדרות מהרשימה האישית שלך בלבד
------------------------------------------------------------------------------------------------------------------------------------------------------
156    | הקיץ האחרון                    | 1 עונה          | פרק 30          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E30.mp4?v=r7f3a9c2#
157    | הקיץ האחרון                    | 1 עונה          | פרק 31          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E31.mp4?v=r7f3a9c2#
158    | הקיץ האחרון                    | 1 עונה          | פרק 32          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E32.mp4?v=r7f3a9c2#
159    | הקיץ האחרון                    | 1 עונה          | פרק 33          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E33.mp4?v=r7f3a9c2#
160    | הקיץ האחרון                    | 1 עונה          | פרק 34          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E34.mp4?v=r7f3a9c2#
161    | הקיץ האחרון                    | 1 עונה          | פרק 35          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E35.mp4?v=r7f3a9c2#
162    | הקיץ האחרון                    | 1 עונה          | פרק 36          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E36.mp4?v=r7f3a9c2#
163    | הקיץ האחרון                    | 1 עונה          | פרק 37          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E37.mp4?v=r7f3a9c2#
164    | הקיץ האחרון                    | 1 עונה          | פרק 38          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E38.mp4?v=r7f3a9c2#
165    | הקיץ האחרון                    | 1 עונה          | פרק 39          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E39.mp4?v=r7f3a9c2#
166    | הקיץ האחרון                    | 1 עונה          | פרק 40          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E40.mp4?v=r7f3a9c2#
167    | הקיץ האחרון                    | 1 עונה          | פרק 41          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E41.mp4?v=r7f3a9c2#
168    | הקיץ האחרון                    | 1 עונה          | פרק 42          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E42.mp4?v=r7f3a9c2#
169    | הקיץ האחרון                    | 1 עונה          | פרק 43          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E43.mp4?v=r7f3a9c2#
170    | הקיץ האחרון                    | 1 עונה          | פרק 44          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E44.mp4?v=r7f3a9c2#
171    | הקיץ האחרון                    | 1 עונה          | פרק 45          | https://main2x2u.b-cdn.net/Turk/part1/Son.Yaz.2021.הקיץ.האחרון/Son.Yaz.S01E45.mp4?v=r7f3a9c2#
